Region,Latitude,Longitude,Green_Space_Area_sqm,AQI,PM2.5,PM10,Rainfall_mm,Season,Transit_Stops,CO2_Emission_Private_g_per_km,CO2_Emission_Public_g_per_km,Travel_Time_mins,Road_Quality_Index,Traffic_Congestion_Index,Average_Vehicle_Speed_kmph
Guindy,13.157454373619087,80.26057030463247,3376,133,85.87013754149532,52.16142327783976,79,Winter,9,290.5564271259932,68.83529256940452,26,56,1,47.86285919163934
Velachery,12.900547531291892,80.13001365145422,4671,131,82.9750202279341,52.616850627447,71,Summer,18,390.11215815653486,99.10873412506801,56,90,4,50.055150158745306
Guindy,12.929541360971756,80.23499136064214,1494,139,54.90512971985129,137.74985470591594,453,Rainy,8,159.2496321700823,165.69141909166297,41,84,9,20.085442904034498
Medavakkam,13.067609265637214,80.28211795734128,2801,127,83.51713302469224,141.36297338529448,66,Winter,10,268.8166922191947,164.12180848306483,41,58,7,59.96031274994287
Thiruvanmiyur,13.117511641184674,80.28145590231765,3991,99,95.17526575015549,117.41243225877757,474,Winter,6,477.6621416282131,180.99018285910392,40,72,8,50.688586805035655
Tambaram,12.854046940787466,80.14268597674686,2708,99,95.56009793382319,62.83991238945262,61,Summer,18,332.76639163311495,63.3128982788932,59,64,7,51.07655583132979
Triplicane,12.948231308165758,80.12144172816694,3717,79,82.17604895086077,51.742102004951306,213,Winter,5,400.1108629462201,85.67608239857064,38,98,5,57.54206520879836
Tambaram,13.069924581674737,80.23054615410156,3992,108,77.48201321864819,108.95147456234713,432,Rainy,6,427.72763034617986,55.648684007793655,45,92,2,36.327767723227254
Porur,13.051762362106572,80.23458374105337,4154,140,68.39203434245388,98.36715914627104,163,Summer,9,483.7758379614159,167.41098707172745,32,99,6,30.346136568682937
Purasaiwakkam,13.065923615169972,80.16462135307177,4940,68,36.03383666637208,83.3118117495968,277,Rainy,12,467.17998598418393,163.06866201525042,34,81,1,54.35170783574855
Guindy,12.884666295850494,80.29735703880893,4628,68,40.88915615285087,137.26072434447667,491,Winter,18,421.19065168195357,195.05490304667242,49,80,4,24.994659017561926
Pallikaranai,13.177196726717387,80.1317295658184,4318,100,54.81669657922315,79.86724764989768,155,Summer,18,465.6573275258959,125.3493440306968,45,83,1,45.56909350219375
Anna Nagar,13.144227429922559,80.13838267070629,2560,93,71.24705124141236,121.30144049133452,322,Winter,17,341.76742005217307,140.235077344511,34,96,8,28.15123950839828
VIT Chennai,13.08121624476013,80.18907428036805,1828,62,68.46201678478278,70.70501172122526,384,Summer,7,197.56975078152036,92.3421508262602,53,80,7,28.822727309090624
Sholinganallur,12.981410911809112,80.21716896788693,1728,77,81.99905597434531,75.8290752282476,407,Winter,9,459.5049081304499,82.34295669826466,24,69,3,33.675116305367794
T. Nagar,13.014788644564273,80.26936355889859,4190,144,52.758877073423484,84.05877090292304,135,Winter,12,468.2402478449669,53.95313821446967,38,90,6,42.893078478109786
Teynampet,13.025470147121203,80.28790047802896,3979,149,54.06313685545453,89.53693502621552,408,Rainy,13,309.01911818691036,164.01428386776047,34,61,9,47.33763066016696
Nungambakkam,12.89423617430729,80.10373331089947,2841,113,76.52505631638489,96.88745462177724,150,Rainy,15,206.00239225903292,149.8001335434295,40,58,1,57.028446050049844
Triplicane,13.020176811668138,80.27925186733823,2415,101,39.848567182407585,111.50643892160235,452,Summer,7,399.12710527188636,125.20919752858967,22,94,7,24.59345459056761
Pallikaranai,13.134386488238912,80.16723348981095,4198,63,67.061609184895,113.74578829024586,308,Rainy,16,253.90015953020998,101.77371149654894,33,65,4,47.925252974231995
Vadapalani,13.088701802074734,80.12231037248601,4205,139,59.46658361609079,114.60052127040352,134,Winter,11,121.6851937590893,124.79400695654763,58,75,1,53.669251282884105
Vadapalani,12.854483190487388,80.16521334896237,3907,116,54.51691702154732,69.75875216202132,125,Rainy,5,149.12821217242916,172.18457988974876,23,65,3,58.823064409513016
Porur,12.949591206500061,80.27896401585129,3422,62,66.26347084163137,59.418864792410666,234,Rainy,17,380.22143706827126,162.17322027115392,32,95,6,31.542119653683187
Porur,12.904490851491914,80.16678519733692,2109,129,49.409939449403836,142.49130778311292,307,Summer,6,466.0096972334384,125.28703346346865,16,63,8,24.258366629214137
Nungambakkam,12.934335509820333,80.16724293316493,1609,60,52.403069137720465,138.69129867315345,274,Summer,19,163.11983917807606,123.23879741338884,54,85,2,27.23438799941035
Ambattur,13.120665916715156,80.22252972546994,3594,115,30.33918981265411,142.8918049670727,446,Summer,8,303.3753023742703,59.5029667344332,45,74,8,56.55707663737016
Tambaram,13.185785047050379,80.23438898805969,2510,142,54.60562818516152,102.57335234141289,135,Winter,7,370.5183444263853,191.69114960350728,36,75,8,28.217757472367676
Mogappair,12.821840501040167,80.20475185796447,4418,101,30.12742020579988,131.6907620392517,316,Rainy,9,446.0387682767531,105.26789931132625,36,70,9,40.85316283573628
Tambaram,12.983881710527182,80.29739762071455,3853,97,47.71510615444585,97.40828348198903,244,Winter,13,125.11719349553752,147.61529004315074,39,60,3,24.033635720063398
Nungambakkam,12.90704385845159,80.29205865620683,1507,134,62.50022454165415,111.18192428241467,124,Summer,8,450.0627334558789,199.3746212619637,37,67,3,57.94456238250709
VIT Chennai,13.015667743219911,80.2606533271275,4308,141,54.59142030064032,133.21110376784844,246,Summer,13,121.96370432417743,75.27514127677361,20,65,8,55.63968310707147
Perambur,13.101004267747944,80.25445575393624,4227,51,66.92290345177739,139.14177486538404,105,Rainy,8,279.16261593326794,193.58749030130807,50,77,5,50.42309486432965
Guindy,13.169816546331727,80.12959927958497,4769,100,85.53499253942863,116.98409892307072,320,Winter,9,110.66284217401629,143.150993027143,15,95,5,34.03031571551809
Guindy,12.927887940069073,80.1182622002291,2295,149,95.03368717551477,79.03284997567906,264,Winter,17,424.474009717682,168.79978808247037,43,79,2,20.209571481240253
Teynampet,13.15179015918769,80.29387363806504,4567,94,53.40086336605931,136.14372638028402,72,Summer,8,468.0335076520109,185.27549833430584,20,68,7,40.38031201504839
Perambur,12.868184590964294,80.11561635863892,4830,123,81.72173755271467,123.15329349807119,472,Summer,14,367.60123698350566,51.91112102918084,47,65,4,58.412567269798345
Egmore,13.023781905328564,80.26117948069334,4064,113,77.22712129755536,93.972292926208,100,Summer,5,483.96847605365474,137.62313882675835,50,62,9,40.750794319184756
Kolathur,12.957872711193206,80.10951062838949,4366,132,51.23010405208598,89.06582664581231,300,Winter,7,431.97220104358945,109.03426247306759,19,88,5,42.02248348993807
Thiruvanmiyur,13.137254079487796,80.13571097163864,1549,74,73.52489617189016,77.8842434495196,95,Summer,6,173.55731659586792,73.34795914199968,55,99,6,49.27631709250019
Porur,13.185611646231298,80.1836377110783,1849,146,39.47123358673624,100.2020499788971,461,Rainy,10,453.26236812818445,102.30354601885327,18,74,3,45.448180224095786
Guindy,12.816907642785681,80.29407025400431,1611,116,91.81579383263855,51.02852520016615,148,Winter,11,124.05743854129491,193.94903008049025,20,95,3,41.6132554212405
Egmore,12.805670355549829,80.1847024990507,4448,132,94.49279842403772,140.178325555042,358,Winter,8,285.3499060292635,194.46619955701792,42,53,3,24.37932898695255
Mogappair,12.97783407794255,80.12761163807178,3667,122,76.08093996344581,62.57558134022436,88,Rainy,18,243.2035325426266,143.55805777669647,20,54,6,20.474336902271368
VIT Chennai,12.93655875187242,80.134844401318,1270,92,44.95640221568409,78.8989700600185,333,Winter,11,246.06890466369782,124.36435286851281,42,59,4,58.35367072009422
Saidapet,13.071436273746945,80.23266838173099,4527,61,72.73307798877438,143.4421353702802,301,Summer,12,138.48371296813914,114.48690761530018,56,66,2,45.469934601816405
Ambattur,13.053132414660059,80.29486513178296,3554,105,85.32198085653772,100.00152228766719,373,Winter,19,479.50443358861475,107.84664258728748,31,76,1,39.164334827804524
Triplicane,13.1345066991906,80.11246229944906,4128,144,54.70091925932502,118.0461603046783,265,Summer,6,421.8395205260994,70.60281521505587,57,79,7,24.799084445371076
VIT Chennai,12.877533780796881,80.27485301980698,2332,77,65.38421035181653,80.58925347530857,126,Summer,18,160.79617589064753,164.6206423931011,51,86,7,40.94153192607662
Mogappair,12.934875012178185,80.20528840964707,3353,135,78.8162642289567,118.92230241000534,194,Winter,13,205.6205626035631,133.88375843794327,42,97,8,26.174389800363596
Velachery,13.005752347067807,80.13434097453526,2970,146,85.72891168307865,90.94517383507424,440,Rainy,13,378.4234704923787,105.97176374243453,21,98,6,47.576518378965375
Kolathur,12.858635027050973,80.21455098760596,2651,61,60.75956821146706,134.39770248218835,59,Winter,18,248.95866230528765,179.776726935367,39,84,9,59.581590784249684
Triplicane,12.908894707732381,80.23992554221236,4994,116,93.99346393572526,138.630006332179,363,Winter,12,184.13318226549703,158.71419855140692,41,89,6,51.280081210978835
Ambattur,12.9403541485197,80.2223567471163,3146,95,96.47651230653283,117.86350053195278,107,Rainy,19,413.4235960832798,187.42590856286554,33,95,3,21.735653192638367
VIT Chennai,13.120412945015405,80.28508038650027,2920,115,80.18486181322733,143.65293545505872,499,Summer,13,240.64020472128766,157.8963088161522,37,73,6,53.33388010987689
Kodambakkam,12.893013462762562,80.22849355778725,4068,127,36.81626727044194,89.74226988316128,128,Winter,16,304.21916299983815,137.06208892851447,27,72,3,31.283738029490912
Mogappair,13.044587098882689,80.18403025614232,2723,53,70.16024719683217,133.15627211611329,431,Winter,10,429.8916393237066,147.9318110638157,16,83,6,48.57984579416609
Avadi,13.136001958208983,80.15887200491078,1502,55,36.55929963326514,77.78518569203875,367,Winter,5,293.0405446950946,122.75677443372314,17,99,7,20.557089257913027
Kodambakkam,13.147473707304563,80.17812178107981,2256,108,56.740260048940115,129.73422867189495,296,Summer,18,140.1601286175037,105.77576121732416,42,74,3,58.970730304158195
Adyar,13.034282423349843,80.15172366518418,3859,73,85.30543923776273,91.69424225986697,249,Winter,15,165.3983484626631,127.68094834568777,32,76,5,21.95387350373938
Avadi,12.831801005080237,80.18575622650152,3505,131,80.29264113171249,123.0240790127781,252,Rainy,12,498.0212730074333,82.60552078340834,56,57,3,29.29756599195439
Ambattur,13.196181850297487,80.17143892080573,3786,112,69.09582448864002,124.35129103258645,181,Winter,12,335.0992340653082,183.6691478430655,43,98,8,28.02683449271852
Porur,13.069744163679097,80.19725874922656,4251,130,92.27345296526565,73.48645929746999,93,Summer,15,408.61837044176576,188.1318001096847,47,77,6,56.067534332687565
Teynampet,13.057917376623971,80.11287764818357,1450,134,96.85663014631335,128.94189346569857,139,Summer,16,313.87386028136746,105.35545366499332,52,72,7,39.18648392123252
Velachery,12.95132857127432,80.27903710156698,4410,72,95.27147166628673,81.20029478886914,218,Rainy,15,441.40935282654345,96.09203086473431,24,72,4,35.37340124073963
Avadi,13.007915056270457,80.26922753194367,2157,57,99.44125551528344,96.15761466638456,285,Rainy,19,301.07186212353326,82.08912244475647,52,91,5,47.82275390140164
Egmore,13.116478940558773,80.21453035206095,4404,119,56.42044062950448,149.05274001497452,198,Rainy,14,231.69037682291312,97.37884755078068,52,90,9,51.76572759292654
Ambattur,12.815249682086224,80.28223082285339,1336,135,60.1806492439908,99.9759548396697,453,Rainy,11,240.93125843550195,143.80244177141813,31,89,5,55.581573623995205
Poonamallee,13.011324660927187,80.1719183214468,4247,111,75.29717411082777,61.02275373254527,61,Rainy,18,466.67006880522837,118.57970171051834,45,64,7,56.221133730905166
VIT Chennai,12.811238169480777,80.26319804241798,3987,145,51.336890043692605,70.56583847271264,356,Summer,18,278.70131904675367,171.3815491233961,34,64,3,29.173834483821175
Saidapet,12.97688540882939,80.1369188580199,4807,136,95.83570866520273,91.57602771360654,407,Rainy,14,225.8424470068518,55.24687388684813,40,56,8,52.55733826533345
Kolathur,13.19763735600091,80.29427813580135,4000,92,42.80499348592004,108.23821748802409,356,Rainy,14,468.83556447843597,189.31084634986652,29,51,1,40.03002181953867
Velachery,12.935742845689711,80.17753310996856,2529,90,62.320943069436964,119.82717301047411,119,Rainy,12,273.9925834067194,129.0494346756883,40,89,7,58.48632806445003
Royapettah,13.129711874805853,80.21785700340226,2738,120,65.1746255372301,52.951906836482934,385,Winter,9,394.0206254292399,144.42456519873457,58,65,6,32.20016565449822
Vadapalani,12.861329887365411,80.14018087912079,3591,64,37.26503108185199,111.07928396780439,481,Summer,14,218.909804776989,154.65467291629852,54,84,8,45.21813924438875
Purasaiwakkam,13.18665981967776,80.21743663980415,4121,91,83.92242077489487,72.7805512956681,241,Winter,17,238.2043703891168,134.81436761519421,59,64,7,33.776540714070876
Triplicane,13.027243733785713,80.14411420342022,4732,119,86.93756408042171,105.77030304294706,421,Rainy,18,213.10518831045138,66.83307942507719,22,52,6,49.89235933372766
Royapettah,12.928145924174595,80.27248117945818,4249,119,76.29152354708961,79.96994756814823,161,Summer,16,108.22152462340799,69.17775600632329,20,78,4,25.551604384846588
Perambur,12.866910054789017,80.28229329332557,4956,99,43.951072796791806,82.99786511726437,149,Rainy,8,150.27722452771422,76.33014713327279,56,52,8,33.956730557128296
Velachery,12.840249669252014,80.12919044380958,1150,150,99.4497896092595,58.77344353634588,445,Winter,16,166.96989594404596,83.80630197829062,57,76,5,53.5372290772126
Porur,13.118876443844078,80.20397873510068,3523,146,35.83579945090592,81.95342165402394,409,Winter,5,139.43123138531564,194.77621680837112,46,94,7,28.45391525653962
Vadapalani,12.823075259072736,80.24626882862938,3020,71,75.00495888168466,57.085442678594944,339,Winter,11,130.6053232637245,126.28444642314474,47,64,3,43.40951857994328
Vadapalani,12.922849893726648,80.16300583059993,2123,117,53.85274577283191,100.10726532826143,178,Winter,14,339.11548647607026,151.25302244402417,22,95,8,53.725924701579686
Egmore,13.025708622725553,80.18265337564813,2399,110,42.2248759892459,106.25604535714163,254,Winter,18,479.72268026095526,140.11978724536738,27,82,7,43.34711504032347
VIT Chennai,13.102913969517738,80.12203758450117,2365,120,49.65858366366981,74.5136002436324,427,Summer,14,117.44605417857076,180.94915800181872,23,86,3,21.4787978404873
Teynampet,13.089899968944733,80.166574162481,4571,77,43.62226210731543,60.076512624623476,254,Winter,13,450.40675304812333,99.61711235662628,20,78,1,55.98490050230946
Egmore,12.802487492087973,80.20361192677096,3993,65,34.3260180843839,127.32122315524154,86,Winter,14,426.61113216231416,163.327715587155,23,73,4,46.467183714652194
Teynampet,13.175692159410355,80.2498895870071,3206,143,89.18064107173623,105.21487892441777,354,Summer,12,389.2183128031895,107.71871516007117,48,71,9,56.91520591025831
Ambattur,12.84704080349184,80.13330219485006,3774,131,98.87300740780464,141.32243016727426,295,Summer,13,199.09073474520534,169.67941945680258,15,98,2,43.46528929181924
Egmore,13.184433711308964,80.25979414755619,4634,146,87.69605238487158,135.98366017052285,200,Winter,19,471.19477820728093,149.8924611213729,19,81,7,51.84960992461576
Velachery,12.833607859031408,80.14392325022644,3796,67,47.46639295701373,145.03515774135727,137,Rainy,5,214.44461498451145,191.9628899432034,44,92,8,28.71377790505114
Velachery,12.883741204991418,80.25406989704925,1743,117,74.98315465899407,90.10826950791167,148,Summer,17,255.89955634573946,161.700749398812,38,94,8,39.76728194205086
Ambattur,13.07100798930559,80.13481850306893,4144,115,50.24993676779023,108.84797724246786,52,Winter,14,250.38701870426593,101.01610943510329,26,79,1,25.259427007929922
Chromepet,13.038255206718771,80.24430244557958,4162,83,81.86401674624673,76.80282858706903,69,Summer,16,407.6738785381537,119.97548519596322,24,50,7,28.564382274734793
Egmore,12.941576782167598,80.27863547114072,4090,120,58.925231324150545,119.1933039494226,304,Summer,16,378.5096551112447,118.41664765867428,47,98,8,56.71009312798924
Poonamallee,12.978928537800202,80.1356641191637,4812,79,68.03743366355218,110.9985532225849,151,Summer,9,208.88869494403758,114.08773242307511,18,50,2,24.61628394518446
Sholinganallur,13.180847037872747,80.23494172355403,2292,129,30.713131413989508,66.31141943376126,64,Rainy,7,486.8068690707744,165.28128936437258,50,69,7,42.01602546430393
Triplicane,13.041396458122419,80.20596316711965,4994,68,40.181997681027426,54.57347020045577,94,Summer,17,493.41810383106855,69.15388457955498,38,70,6,56.74370786301589
VIT Chennai,13.012737239332523,80.17930804487231,1597,133,66.49063418714412,51.74910774556516,118,Summer,12,249.39939579855462,179.73778815184443,23,80,5,48.50100435739083
VIT Chennai,13.139129645786271,80.24105523541255,4467,62,59.06708253222929,76.47152935496345,365,Winter,16,353.3043542476036,59.59303925118315,54,58,2,25.910070575028058
Anna Nagar,13.0787168102141,80.23960724901876,4069,97,47.46930036041346,147.17533559577618,109,Summer,16,116.33547540986235,166.02718523564562,16,54,6,41.623950544042714
Anna Nagar,13.011618486088944,80.16760000761697,4497,65,71.90115729336455,59.44595504604491,142,Summer,9,425.28990448864045,169.9157211453811,56,69,8,58.02223222342326
Kodambakkam,12.981003519438644,80.17369063458939,2983,149,87.39166674513436,71.82496975396849,169,Rainy,5,177.8407506504374,186.66039840115826,29,55,1,41.52175584214371
Sholinganallur,13.137968808179854,80.25391790419135,4994,86,95.48039465025322,65.92638673605634,76,Rainy,18,232.84908685139612,99.97800785128851,20,85,4,33.215486790769084
Triplicane,12.890362464042097,80.25816781853403,1875,106,78.08170711426851,86.41447312668454,454,Winter,10,206.6241783436435,180.09475633980534,53,78,3,38.935653239190074
Purasaiwakkam,12.899964160525862,80.29863355717387,4125,69,52.602243752620296,56.271293414416114,193,Winter,5,197.31889491808278,69.57655715041346,50,90,5,52.539215376071354
Saidapet,12.940341544122216,80.28794318403922,4912,105,63.054667982083465,96.55532784376567,367,Rainy,6,496.5113255942002,66.86729278766151,21,72,3,36.90814414230382
Adyar,13.114290077636223,80.28666566801213,4104,121,42.21419094611794,117.88670976572755,307,Winter,18,217.52946022630172,155.98985490560045,51,75,6,47.01378570263064
Kodambakkam,12.836250125448869,80.28655669677441,3907,118,48.996771271911385,85.53901304749593,194,Summer,5,468.85717846596765,68.89494959037432,21,51,9,30.45872422867781
Mogappair,12.81464587059603,80.26638551364789,3321,106,84.18267964340717,117.39113023760545,416,Winter,5,439.4890554689588,132.48168561166972,52,96,7,30.115845665623745
Kodambakkam,12.927618358833518,80.23310892467033,4211,128,97.71130539152148,129.4037112080081,250,Summer,11,324.4045314250939,68.29567966929714,20,53,1,56.05591821325448
Purasaiwakkam,13.163343555328721,80.12629485919264,4551,104,79.25346782193273,142.5396551729582,313,Rainy,16,391.58725797700583,187.94539942897816,27,57,1,23.756193548067923
Saidapet,12.955983409185944,80.15808990164109,3304,94,51.10114626381586,81.1324079054971,313,Rainy,8,277.18855506417776,63.24836317940629,53,64,5,59.60752426163262
Thoraipakkam,13.105305472206147,80.28531706965752,4976,142,73.54657026896096,134.066012267107,223,Winter,14,168.04882307615472,67.639629680866,50,74,5,43.30851368483796
Egmore,12.972912271276561,80.29442788330788,3473,106,93.67732225090965,126.68450936905643,380,Summer,6,380.6684816914617,83.52827634401027,48,70,5,52.09601912951794
Purasaiwakkam,13.029680082859786,80.24836487958913,2638,59,44.37572444824287,145.5102336019887,404,Rainy,9,293.439177879279,129.76840148036337,24,60,3,45.07649180018976
Adyar,12.947151459139508,80.11229967401417,4028,110,98.8128332668013,65.18198611698438,411,Rainy,14,224.70018096281134,135.8316300056761,31,93,1,55.065035305306736
Perambur,12.847355374182843,80.27087857594394,1599,64,91.63538597529,141.8975083080269,175,Rainy,6,288.70665751225556,151.01828519900067,51,76,1,46.16944213053549
Anna Nagar,13.108349553845123,80.13450650958968,2227,143,83.88393332868439,128.52786627655883,368,Winter,13,298.5307988487319,142.1455813886094,31,62,9,30.769531299496165
Velachery,12.974483239899124,80.24844306798408,2823,93,43.15450462591089,112.46893990790201,218,Winter,5,159.71321269109694,78.32914172711484,38,54,7,32.44670788136882
Sholinganallur,12.957221115220515,80.16394186648466,4498,78,46.23298205322516,74.51493426050925,215,Rainy,12,349.8884786175878,69.2820184720381,31,79,4,38.312995589336204
Velachery,13.06136529106013,80.13307599436439,2163,91,78.04000893534763,118.66481661950333,128,Summer,18,145.23215111765438,193.56990359978,43,74,1,53.64636295330446
VIT Chennai,12.942961805990425,80.13274787917999,4069,146,44.719135419375114,105.55951997240057,302,Winter,15,461.3278051036621,114.3153161500842,28,62,6,30.693469333927567
Egmore,12.978211484157987,80.12504758780216,4959,97,72.94357792271202,75.13523578933912,78,Summer,15,445.62466203392125,195.60375880671842,23,51,6,29.834980108794266
VIT Chennai,13.096984305010464,80.2996364049349,4398,71,62.318045543874824,73.40491279630803,54,Rainy,8,176.85013133785253,94.42760937398812,46,91,1,21.13524660251216
Adyar,13.120120808724161,80.20353778883133,3565,97,57.74011941595862,96.70004613320526,59,Summer,9,329.569693724856,65.96262809436138,26,60,3,45.78891485160443
Kodambakkam,13.184119843612509,80.18248473551462,4546,61,49.557745193805246,83.37938230948768,159,Summer,12,108.51033227457955,90.91303928349308,47,99,1,26.31882471510407
Kolathur,12.808711574722638,80.14148554613053,1850,123,49.984683989847134,83.46490858949613,361,Summer,9,221.8020391554278,117.2624682592862,16,68,3,23.21171273696562
VIT Chennai,13.18896250402379,80.18335871988873,4007,95,88.47026313131971,141.2160836682151,162,Rainy,5,322.95325109673524,66.92822814852305,47,86,1,59.0394921932857
Chromepet,12.869306595061827,80.2738372447299,3105,87,46.49847828258838,134.31485207024457,384,Winter,16,191.50563720271765,81.2106319858784,53,86,1,25.572296792921946
Teynampet,13.168383690540393,80.13176932656697,4779,78,91.54517499012245,64.8480601794802,263,Winter,19,396.497174740197,112.63695601497619,45,61,9,54.07917880611757
Kolathur,12.951500590155266,80.20074092000583,2768,88,55.669065802224154,50.87968982084039,330,Summer,17,253.32178559833335,182.74075326478575,45,80,8,43.813356466882155
Vadapalani,12.913943777528086,80.2071917330869,4247,88,69.84230008763325,139.52211385501442,270,Summer,9,254.60825085553762,100.25491222700495,23,63,1,20.784730304183483
Adyar,13.03163457109636,80.26983964526572,2393,109,79.52661312804014,90.70994174707272,431,Winter,17,134.67029898422336,126.24249512975352,16,63,1,39.695152506819944
Porur,12.812291554360826,80.15115057370771,4404,64,40.719114939210904,126.80151868909927,93,Winter,9,188.7886248744251,81.93884541607909,23,79,8,55.85876377863598
Perambur,13.19401817092229,80.15438350082036,4949,75,97.21853726131769,54.497204385382425,97,Winter,13,419.0535747108774,182.49403311459486,23,97,4,58.69610660721866
Nungambakkam,12.80534350036486,80.18326427917188,3508,126,83.82127233018436,61.759104291515655,474,Winter,13,322.2557733855804,180.81615239864442,59,73,2,37.46789831838129
Chromepet,13.079365330815016,80.10196265534653,4728,125,79.47638344031007,89.6010047503062,280,Summer,17,399.76534492859645,59.571946493787216,34,62,5,47.457078103631
T. Nagar,13.02595650700603,80.1186850649951,2955,104,94.46983545155055,122.80867757313952,448,Rainy,8,424.94371612613924,112.57570727739704,25,94,4,28.60905160515467
Teynampet,13.048390316222951,80.23925505499585,3123,114,43.26281062857589,82.70632608394183,260,Summer,14,232.08454638368013,53.680400709873574,27,96,3,51.65986519747364
Velachery,13.058617512804245,80.21358276449051,1822,146,78.04651410896486,121.80348768746822,112,Winter,10,161.66099187846646,103.17232149589013,30,99,4,25.319267522267957
Velachery,12.961058809124053,80.1135038660843,4855,76,52.85172929764403,56.4000380155393,234,Winter,6,201.21803343178402,57.115531147801974,43,86,4,28.88977263857825
Medavakkam,12.957185907912669,80.18581078768919,3769,130,70.5067524676776,109.71355893088037,183,Winter,7,391.4561422803681,115.22165435286128,18,79,3,57.114510643681704
Mogappair,13.153723445474762,80.18424246942295,3360,126,91.7437891266164,53.08896987277178,108,Rainy,16,474.5180618867019,105.48859175258134,43,69,1,20.146004843968143
Thiruvanmiyur,13.178792082275251,80.28563871922913,1595,68,98.89853404924553,52.50512487250752,101,Winter,19,140.30228118023334,155.18358481620672,59,92,3,44.505119315767246
Tambaram,12.898905447840004,80.22828614082376,1626,134,63.533063949081026,74.11303385581988,362,Winter,14,339.84721652679485,183.87817438913999,40,65,4,44.682644510673484
Velachery,13.087231728479855,80.24579751745016,2659,124,60.11191103221719,128.37551793171687,342,Summer,10,362.7212998194934,120.79470502816396,23,92,6,35.38888749331366
Mogappair,12.913552100118048,80.16087285345733,4649,135,36.617250362588074,71.12137679722439,130,Winter,5,137.25534110847576,185.05369922869681,21,91,2,56.06796859776553
Thiruvanmiyur,13.176527447865961,80.14591396291605,4860,62,31.86656274510364,78.62735544189518,198,Winter,11,161.9425732827049,82.11709216903017,15,91,8,33.19949301013907
Avadi,12.97944178400463,80.29421526664768,4306,115,39.04129263372715,134.0062983786842,205,Rainy,5,340.22911443778185,83.92295718435061,43,82,7,22.67424601287139
Purasaiwakkam,13.09776928368904,80.16004838901759,4678,102,32.42216100159089,63.99532718079159,277,Winter,10,403.43895713223816,180.9437937980615,47,99,1,56.722552452682834
Tambaram,12.894329869108072,80.29622290619191,4520,141,85.4095345273934,62.64627985168505,442,Summer,14,446.78860248234014,141.71898569278594,32,84,3,32.64475342027653
Kodambakkam,13.148528296020913,80.12731275362962,4942,116,49.117224046455505,121.95767642074648,139,Summer,6,163.5468029933941,63.81493118540442,15,98,3,25.18574671926094
Saidapet,12.954919841742548,80.256201389716,3193,102,86.89180352614989,114.03656733500289,338,Summer,5,222.03143637594843,187.36176465315418,31,97,4,39.93489844433441
Nungambakkam,13.01479923286276,80.2196091518518,4590,150,76.3418402339066,83.07157638945395,85,Winter,17,215.1625389844894,162.7606083200401,30,52,3,56.600250703679094
Saidapet,13.142716951955569,80.27775781122564,4798,89,99.39804115273401,146.1707738084662,125,Rainy,16,131.57225731843667,105.85332278794712,37,73,8,38.59207862460707
Anna Nagar,13.146096218839457,80.1616366920135,4534,138,36.62321762926502,117.92786065214322,316,Summer,19,166.05864450047454,195.96650051975473,53,69,8,55.39142007954793
Vadapalani,13.022354405073825,80.12457995438938,4666,131,96.61826506027748,104.96290241688408,404,Rainy,11,241.64406151267693,139.47974241870008,24,68,8,49.54025183520942
VIT Chennai,13.042911675188918,80.295816647719,1019,91,87.2156843547599,73.42050117591845,452,Rainy,18,266.56094202282685,161.13815527738183,56,98,8,41.68132047044744
Nungambakkam,13.120934658270883,80.18127320904738,4303,120,30.524853304233606,53.55848212304516,429,Summer,17,361.8942789961553,147.07898561352368,32,59,9,32.87735979740991
Chromepet,12.913598641664084,80.1933333926963,3331,147,65.53701257143327,118.73921621542675,167,Winter,9,180.9722665507645,197.21508465994165,37,64,5,35.096394629745134
Teynampet,12.995024847093589,80.20472977549117,2348,105,35.67694723309933,116.56048148064387,256,Rainy,5,390.62070173876015,136.3948971724238,38,55,7,30.08037427071927
Avadi,12.959954040711287,80.20580475913529,4694,143,40.29259962634485,140.95458929242324,282,Rainy,11,124.08043499623327,64.36925934057035,18,91,5,46.22599738018679
Anna Nagar,12.9185063005836,80.18480010266636,3629,76,59.93744252394531,77.91697804195047,363,Summer,5,445.273392322297,138.5769187950139,40,69,1,47.48886103930168
Guindy,13.044091813780959,80.28414514790319,1121,82,42.618204049157455,75.15145254206723,125,Rainy,17,183.7820004242623,94.75959759691504,49,87,4,37.514427077949165
Purasaiwakkam,12.871090968414405,80.12982217434275,2131,122,92.76110639233664,148.8195382433504,381,Summer,10,202.4585570666418,61.948963100701526,30,72,7,47.706563337404376
Velachery,12.936238575284916,80.22953879334504,1891,133,36.968894741940794,121.57265888926324,173,Winter,15,442.7626735369262,102.3956798703901,42,75,1,59.6388996449789
Medavakkam,13.118290283806287,80.19340970395723,4766,73,71.10092479011868,149.4939087825407,65,Rainy,13,426.7549608429374,78.94031062713974,23,74,3,33.92120351863499
Kolathur,13.126906685871399,80.25170819567474,4331,150,41.07834800542097,125.46335613528248,460,Winter,5,463.9305153332494,179.9647457683241,19,72,9,59.66993236014984
Thiruvanmiyur,13.060763243133808,80.26223523308002,3437,112,71.84824099197425,92.38747771257027,335,Summer,7,490.4763661987303,118.61862280597897,45,51,1,26.947465027002067
